 ***NOTE***: Collecting stats for next round (10 sec)
CPU          total/sec     dropped/sec    squeezed/sec   collision/sec      rx_rps/sec  flow_limit/sec 
CPU:25           30089               0               0               0               0               0 
CPU:26           61007               0               0               0               0               0 
CPU:27           29861               0               0               0               0               0 
CPU:28           31115               0               0               0               0               0 
CPU:29           31455               0               0               0               0               0 
CPU:30           29351               0               0               0               0               0 
CPU:31           29274               0               0               0               0               0 
CPU:32               0               0               0               0               0               0 
CPU:33           29999               0               0               0               0               0 
CPU:34           30788               0               0               0               0               0 
CPU:35           30803               0               0               0               0               0 
CPU:36           29943               0               0               0               0               0 
CPU:37               8               0               0               0               0               0 
CPU:38           30982               0               0               0               0               0 
CPU:39           60342               0               0               0               0               0 
CPU:40           28403               0               0               0               0               0 
CPU:41           63549               0               0               0               0               0 
CPU:42           30872               0               0               0               0               0 
CPU:43           29272               0               0               0               0               0 
CPU:44           30542               0               0               0               0               0 
CPU:45           29746               0               0               0               0               0 
CPU:46               0               0               0               0               0               0 
CPU:47           29493               0               0               0               0               0 
CPU:48           29712               0               0               0               0               0 
CPU:49           29952               0               0               0               0               0 
CPU:50           61430               0               0               0               0               0 
CPU:51           29461               0               0               0               0               0 
CPU:52           29832               0               0               0               0               0 
CPU:53           29191               0               0               0               0               0 
CPU:54           30138               0               0               0               0               0 
CPU:55           32059               0               0               0               0               0 
CPU:56           29573               0               0               0               0               0 
CPU:57           29199               0               0               0               0               0 
CPU:58           30469               0               0               0               0               0 
CPU:59           31171               0               0               0               0               0 
CPU:60           58928               0               0               0               0               0 
CPU:61           31067               0               0               0               0               0 
CPU:62           30893               0               0               0               0               0 
CPU:63           29807               0               0               0               0               0 

Summed:        1934393               0               0               0               0               0 

CPU          total/sec     dropped/sec    squeezed/sec   collision/sec      rx_rps/sec  flow_limit/sec 
CPU:00           29721               0               0               0               0               0 
CPU:01           30884               0               0               0               0               0 
CPU:02           30119               0               0               0               0               0 
CPU:03               0               0               0               0               0               0 
CPU:04           31482               0               0               0               0               0 
CPU:05           30804               0               0               0               0               0 
CPU:06           59605               0               0               0               0               0 
CPU:07           30909               0               0               0               0               0 
CPU:08               0               0               0               0               0               0 
CPU:09           29427               0               0               0               0               0 
CPU:10           31592               0               0               0               0               0 
CPU:11           29929               0               0               0               0               0 
CPU:12           30103               0               0               0               0               0 
CPU:13           29098               0               0               0               0               0 
CPU:14           30211               0               0               0               0               0 
CPU:15           31670               0               0               0               0               0 
CPU:16           61002               0               0               0               0               0 
CPU:17               0               0               0               0               0               0 
CPU:18           28780               0               0               0               0               0 
CPU:19           30218               0               0               0               0               0 
CPU:20           31593               0               0               0               0               0 
CPU:21               0               0               0               0               0               0 
CPU:22               0               0               0               0               0               0 
CPU:23           30406               0               0               0               0               0 
CPU:24           59274               0               0               0               0               0 
CPU:25           31573               0               0               0               0               0 
CPU:26           60708               0               0               0               0               0 
CPU:27           28568               0               0               0               0               0 
CPU:28           30633               0               0               0               0               0 
CPU:29           32080               0               0               0               0               0 
CPU:30           30440               0               0               0               0               0 
CPU:31           28675               0               0               0               0               0 
CPU:32               0               0               0               0               0               0 
CPU:33           30126               0               0               0               0               0 
CPU:34           30888               0               0               0               0               0 
CPU:35           31334               0               0               0               0               0 
CPU:36           29652               0               0               0               0               0 
CPU:37               6               0               0               0               0               0 
CPU:38           31488               0               0               0               0               0 
CPU:39           60212               0               0               0               0               0 
CPU:40           28604               0               0               0               0               0 
CPU:41           60274               0               0               0               0               0 
CPU:42           30622               0               0               0               0               0 
CPU:43           29046               0               0               0               0               0 
CPU:44           31393               0               0               0               0               0 
CPU:45           30488               0               0               0               0               0 
CPU:46               0               0               0               0               0               0 
CPU:47           29083               0               0               0               0               0 
CPU:48           29253               0               0               0               0               0 
CPU:49           29124               0               0               0               0               0 
CPU:50           61954               0               0               0               0               0 
CPU:51           29317               0               0               0               0               0 
CPU:52           29039               0               0               0               0               0 
CPU:53           29902               0               0               0               0               0 
CPU:54           29253               0               0               0               0               0 
CPU:55           31113               0               0               0               0               0 
CPU:56           29329               0               0               0               0               0 
CPU:57           30519               0               0               0               0               0 
CPU:58           30247               0               0               0               0               0 
CPU:59           30536               0               0               0               0               0 
CPU:60           61389               0               0               0               0               0 
CPU:61           31340               0               0               0               0               0 
CPU:62           31545               0               0               0               0               0 
CPU:63           29689               0               0               0               0               0 

Summed:        1936266               0               0               0               0               0 

CPU          total/sec     dropped/sec    squeezed/sec   collision/sec      rx_rps/sec  flow_limit/sec 
CPU:00           29431               0               0               0               0               0 
CPU:01           30386               0               0               0               0               0 
CPU:02           31000               0               0               0               0               0 
CPU:03               0               0               0               0               0               0 
CPU:04           30278               0               0               0               0               0 
CPU:05           30140               0               0               0               0               0 
CPU:06           61301               0               0               0               0               0 
CPU:07           32141               0               0               0               0               0 
CPU:08               0               0               0               0               0               0 
CPU:09           29752               0               0               0               0               0 
CPU:10           32163               0               0               0               0               0 
CPU:11           29168               0               0               0               0               0 
CPU:12           30856               0               0               0               0               0 
CPU:13           28864               0               0               0               0               0 
CPU:14           30771               0               0               0               0               0 
CPU:15           30911               0               0               0               0               0 
CPU:16           59781               0               0               0               0               0 
CPU:17               0               0               0               0               0               0 
CPU:18           29513               0               0               0               0               0 
CPU:19           30213               0               0               0               0               0 
CPU:20           30831               0               0               0               0               0 
CPU:21               0               0               0               0               0               0 
CPU:22               0               0               0               0               0               0 
CPU:23           31093               0               0               0               0               0 
CPU:24           60378               0               0               0               0               0 
CPU:25           31699               0               0               0               0               0 
CPU:26           59613               0               0               0               0               0 
CPU:27           29571               0               0               0               0               0 
CPU:28           30516               0               0               0               0               0 
CPU:29           30845               0               0               0               0               0 
CPU:30           29250               0               0               0               0               0 
CPU:31           28830               0               0               0               0               0 
CPU:32               0               0               0               0               0               0 
CPU:33           31333               0               0               0               0               0 
CPU:34           30230               0               0               0               0               0 
CPU:35           30741               0               0               0               0               0 
CPU:36           29558               0               0               0               0               0 
CPU:37               6               0               0               0               0               0 
CPU:38           30696               0               0               0               0               0 
CPU:39           60634               0               0               0               0               0 
CPU:40           29353               0               0               0               0               0 
CPU:41           59421               0               0               0               0               0 
CPU:42           29285               0               0               0               0               0 
CPU:43           30106               0               0               0               0               0 
CPU:44           30476               0               0               0               0               0 
CPU:45           30185               0               0               0               0               0 
CPU:46               0               0               0               0               0               0 
CPU:47           29478               0               0               0               0               0 
CPU:48           30545               0               0               0               0               0 
CPU:49           27806               0               0               0               0               0 
CPU:50           62609               0               0               0               0               0 
CPU:51           28537               0               0               0               0               0 
CPU:52           30113               0               0               0               0               0 
CPU:53           30692               0               0               0               0               0 
CPU:54           29988               0               0               0               0               0 
CPU:55           31495               0               0               0               0               0 
CPU:56           29726               0               0               0               0               0 
CPU:57           29468               0               0               0               0               0 
CPU:58           28580               0               0               0               0               0 
CPU:59           30716               0               0               0               0               0 
CPU:60           61658               0               0               0               0               0 
CPU:61           31372               0               0               0               0               0 
CPU:62           31475               0               0               0               0               0 
CPU:63           30660               0               0               0               0               0 

Summed:        1936239               0               0               0               0               0 

CPU          total/sec     dropped/sec    squeezed/sec   collision/sec      rx_rps/sec  flow_limit/sec 
CPU:00           30472               0               0               0               0               0 
CPU:01           29696               0               0               0               0               0 
CPU:02           29459               0               0               0               0               0 
CPU:03               0               0               0               0               0               0 
CPU:04           32036               0               0               0               0               0 
CPU:05           29456               0               0               0               0               0 
CPU:06           61366               0               0               0               0               0 
CPU:07           32054               0               0               0               0               0 
CPU:08               0               0               0               0               0               0 
CPU:09           30048               0               0               0               0               0 
CPU:10           30174               0               0               0               0               0 
CPU:11           28708               0               0               0               0               0 
CPU:12           31376               0               0               0               0               0 
CPU:13           28479               0               0               0               0               0 
CPU:14           30728               0               0               0               0               0 
CPU:15           31324               0               0               0               0               0 
CPU:16           62243               0               0               0               0               0 
CPU:17               0               0               0               0               0               0 
CPU:18           31395               0               0               0               0               0 
CPU:19           31435               0               0               0               0               0 
CPU:20           31005               0               0               0               0               0 
CPU:21               0               0               0               0               0               0 
CPU:22               0               0               0               0               0               0 
CPU:23           30894               0               0               0               0               0 
CPU:24           58722               0               0               0               0               0 
CPU:25           32099               0               0               0               0               0 
CPU:26           57801               0               0               0               0               0 
CPU:27           30470               0               0               0               0               0 
CPU:28           30645               0               0               0               0               0 
CPU:29           30935               0               0               0               0               0 
CPU:30           28816               0               0               0               0               0 
CPU:31           28925               0               0               0               0               0 
CPU:32               0               0               0               0               0               0 
CPU:33           30464               0               0               0               0               0 
CPU:34           30113               0               0               0               0               0 
CPU:35           29752               0               0               0               0               0 
CPU:36           29533               0               0               0               0               0 
CPU:37               5               0               0               0               0               0 
CPU:38           30787               0               0               0               0               0 
CPU:39           60585               0               0               0               0               0 
CPU:40           29479               0               0               0               0               0 
CPU:41           61131               0               0               0               0               0 
CPU:42           30658               0               0               0               0               0 
CPU:43           31305               0               0               0               0               0 
CPU:44           30856               0               0               0               0               0 
CPU:45           30598               0               0               0               0               0 
CPU:46               0               0               0               0               0               0 
CPU:47           28060               0               0               0               0               0 
CPU:48           31050               0               0               0               0               0 
CPU:49           29231               0               0               0               0               0 
CPU:50           60272               0               0               0               0               0 
CPU:51           28367               0               0               0               0               0 
CPU:52           30352               0               0               0               0               0 
CPU:53           29838               0               0               0               0               0 
