Linux 5.4.0-72-generic (suricata) 	06. mai 2021 	_x86_64_	(64 CPU)

kl. 10.50 +0200  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
kl. 10.50 +0200    0    0,18    0,00    0,54    0,00    0,00   11,20    0,00    0,00    0,00   88,08
kl. 10.50 +0200    1    1,41    0,00    0,61    0,00    0,00    0,00    0,00    0,00    0,00   97,98
kl. 10.50 +0200    2    0,20    0,00    1,01    0,00    0,00    0,91    0,00    0,00    0,00   97,88
kl. 10.50 +0200    3    0,60    0,00    1,81    0,00    0,00    1,00    0,00    0,00    0,00   96,59
kl. 10.50 +0200    4    0,30    0,00    1,51    0,00    0,00    1,11    0,00    0,00    0,00   97,08
kl. 10.50 +0200    5    0,40    0,00    0,91    0,00    0,00    0,71    0,00    0,00    0,00   97,98
kl. 10.50 +0200    6    0,40    0,00    1,61    0,00    0,00    1,81    0,00    0,00    0,00   96,18
kl. 10.50 +0200    7    0,92    0,00    1,02    0,00    0,00    0,92    0,00    0,00    0,00   97,15
kl. 10.50 +0200    8    0,41    0,00    1,42    0,00    0,00    0,61    0,00    0,00    0,00   97,56
kl. 10.50 +0200    9    1,01    0,00    1,71    0,00    0,00    1,01    0,00    0,00    0,00   96,27
kl. 10.50 +0200   10    0,30    0,00    1,41    0,00    0,00    1,01    0,00    0,00    0,00   97,28
kl. 10.50 +0200   11    0,61    0,00    1,11    0,00    0,00    0,71    0,00    0,00    0,00   97,57
kl. 10.50 +0200   12    0,20    0,00    1,61    0,00    0,00    0,81    0,00    0,00    0,00   97,38
kl. 10.50 +0200   13    0,30    0,00    0,91    0,00    0,00    1,01    0,00    0,00    0,00   97,78
kl. 10.50 +0200   14   75,63    0,00    2,01    0,00    0,00    1,71    0,00    0,00    0,00   20,66
kl. 10.50 +0200   15    0,10    0,00    1,22    0,00    0,00    0,91    0,00    0,00    0,00   97,77
kl. 10.50 +0200   16    0,30    0,00    0,81    0,00    0,00    1,11    0,00    0,00    0,00   97,78
kl. 10.50 +0200   17    0,90    0,00    1,20    0,00    0,00    0,90    0,00    0,00    0,00   96,99
kl. 10.50 +0200   18    1,10    0,00    0,60    0,00    0,00    0,00    0,00    0,00    0,00   98,29
kl. 10.50 +0200   19    0,60    0,00    1,30    0,00    0,00    0,90    0,00    0,00    0,00   97,19
kl. 10.50 +0200   20    0,60    0,00    1,10    0,00    0,00    1,00    0,00    0,00    0,00   97,29
kl. 10.50 +0200   21    0,20    0,00    1,01    0,00    0,00    0,81    0,00    0,00    0,00   97,99
kl. 10.50 +0200   22    0,10    0,00    1,10    0,00    0,00    1,69    0,00    0,00    0,00   97,11
kl. 10.50 +0200   23    0,81    0,00    1,01    0,00    0,00    0,61    0,00    0,00    0,00   97,58
kl. 10.50 +0200   24    0,20    0,00    0,90    0,00    0,00    1,20    0,00    0,00    0,00   97,70
kl. 10.50 +0200   25    0,10    0,00    1,10    0,00    0,00    1,10    0,00    0,00    0,00   97,70
kl. 10.50 +0200   26    0,20    0,00    1,61    0,00    0,00    0,90    0,00    0,00    0,00   97,29
kl. 10.50 +0200   27    0,10    0,00    0,40    0,00    0,00    0,00    0,00    0,00    0,00   99,50
kl. 10.50 +0200   28    1,91    0,00    1,01    0,00    0,00    0,70    0,00    0,00    0,00   96,38
kl. 10.50 +0200   29    0,10    0,00    1,21    0,00    0,00    0,60    0,00    0,00    0,00   98,09
kl. 10.50 +0200   30    0,20    0,00    0,70    0,00    0,00    1,01    0,00    0,00    0,00   98,09
kl. 10.50 +0200   31    0,40    0,00    0,30    0,00    0,00    0,00    0,00    0,00    0,00   99,30
kl. 10.50 +0200   32    0,30    0,00    1,41    0,00    0,00    0,91    0,00    0,00    0,00   97,37
kl. 10.50 +0200   33    0,61    0,00    1,62    0,00    0,00    0,71    0,00    0,00    0,00   97,06
kl. 10.50 +0200   34    0,40    0,00    1,41    0,00    0,00    1,01    0,00    0,00    0,00   97,18
kl. 10.50 +0200   35    0,30    0,00    0,41    0,00    0,00    0,00    0,00    0,00    0,00   99,29
kl. 10.50 +0200   36    0,30    0,00    1,21    0,00    0,00    1,21    0,00    0,00    0,00   97,28
kl. 10.50 +0200   37    0,81    0,00    1,81    0,00    0,00    1,41    0,00    0,00    0,00   95,97
kl. 10.50 +0200   38    0,61    0,00    1,11    0,00    0,00    0,61    0,00    0,00    0,00   97,67
kl. 10.50 +0200   39    0,30    0,00    1,42    0,00    0,00    0,91    0,00    0,00    0,00   97,37
kl. 10.50 +0200   40    0,30    0,00    1,21    0,00    0,00    0,61    0,00    0,00    0,00   97,88
kl. 10.50 +0200   41    0,61    0,00    2,02    0,00    0,00    0,81    0,00    0,00    0,00   96,56
kl. 10.50 +0200   42    0,30    0,00    1,42    0,00    0,00    0,71    0,00    0,00    0,00   97,57
kl. 10.50 +0200   43    0,20    0,00    1,81    0,00    0,00    1,51    0,00    0,00    0,00   96,47
kl. 10.50 +0200   44    0,30    0,00    0,61    0,00    0,00    0,00    0,00    0,00    0,00   99,09
kl. 10.50 +0200   45    0,51    0,00    1,21    0,00    0,00    0,00    0,00    0,00    0,00   98,28
kl. 10.50 +0200   46    0,91    0,00    1,21    0,00    0,00    0,81    0,00    0,00    0,00   97,07
kl. 10.50 +0200   47    2,23    0,00    1,62    0,00    0,00    0,61    0,00    0,00    0,00   95,54
kl. 10.50 +0200   48    0,10    0,00    0,70    0,00    0,00    1,00    0,00    0,00    0,00   98,20
kl. 10.50 +0200   49    2,50    0,00    1,00    0,00    0,00    0,90    0,00    0,00    0,00   95,60
kl. 10.50 +0200   50    0,30    0,00    1,01    0,00    0,00    1,31    0,00    0,00    0,00   97,38
kl. 10.50 +0200   51    2,62    0,00    2,22    0,00    0,00    0,61    0,00    0,00    0,00   94,55
kl. 10.50 +0200   52    0,30    0,00    1,80    0,00    0,00    0,80    0,00    0,00    0,00   97,10
kl. 10.50 +0200   53    0,20    0,00    0,81    0,00    0,00    0,81    0,00    0,00    0,00   98,18
kl. 10.50 +0200   54    0,60    0,00    2,11    0,00    0,00    0,90    0,00    0,00    0,00   96,39
kl. 10.50 +0200   55    0,60    0,00    0,90    0,00    0,00    1,11    0,00    0,00    0,00   97,39
kl. 10.50 +0200   56    0,10    0,00    0,90    0,00    0,00    1,30    0,00    0,00    0,00   97,70
kl. 10.50 +0200   57    0,40    0,00    1,01    0,00    0,00    1,01    0,00    0,00    0,00   97,59
kl. 10.50 +0200   58    3,81    0,00    1,20    0,10    0,00    0,90    0,00    0,00    0,00   93,98
kl. 10.50 +0200   59    0,30    0,00    1,40    0,00    0,00    0,80    0,00    0,00    0,00   97,50
kl. 10.50 +0200   60    0,20    0,00    1,11    0,00    0,00    1,51    0,00    0,00    0,00   97,19
kl. 10.50 +0200   61    0,20    0,00    1,31    0,00    0,00    0,80    0,00    0,00    0,00   97,69
kl. 10.50 +0200   62    1,01    0,00    0,80    0,00    0,00    0,80    0,00    0,00    0,00   97,39
kl. 10.50 +0200   63    0,20    0,00    0,91    0,00    0,00    0,70    0,00    0,00    0,00   98,19

kl. 10.50 +0200 NODE    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
kl. 10.50 +0200    0    2,86    0,00    1,30    0,00    0,00    1,19    0,00    0,00    0,00   94,00

kl. 10.50 +0200  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
kl. 10.50 +0200    0   43,10    0,00   14,44    0,00    0,00    0,00    0,00    0,00    0,00   42,46
kl. 10.50 +0200    1   45,25    0,00   13,58    0,00    0,00    0,00    0,00    0,00    0,00   41,17
kl. 10.50 +0200    2   41,34    0,00   13,18    0,00    0,00    9,88    0,00    0,00    0,00   35,60
kl. 10.50 +0200    3   40,11    0,00   14,29    0,00    0,00   10,16    0,00    0,00    0,00   35,45
kl. 10.50 +0200    4   41,19    0,00   16,58    0,00    0,00    9,47    0,00    0,00    0,00   32,75
kl. 10.50 +0200    5   39,23    0,00   15,11    0,00    0,00   11,18    0,00    0,00    0,00   34,47
kl. 10.50 +0200    6   34,92    0,00   17,87    0,00    0,00   19,01    0,00    0,00    0,00   28,20
kl. 10.50 +0200    7   41,27    0,00   16,20    0,00    0,00    8,36    0,00    0,00    0,00   34,17
kl. 10.50 +0200    8   38,01    0,00   16,34    0,10    0,00   11,31    0,00    0,00    0,00   34,24
kl. 10.50 +0200    9   39,71    0,00   16,42    0,00    0,00    9,77    0,00    0,00    0,00   34,10
kl. 10.50 +0200   10   38,87    0,00   16,81    0,00    0,00   10,29    0,00    0,00    0,00   34,03
kl. 10.50 +0200   11   38,69    0,00   15,75    0,00    0,00   10,68    0,00    0,00    0,00   34,88
kl. 10.50 +0200   12   41,36    0,00   15,43    0,00    0,00    9,36    0,00    0,00    0,00   33,85
kl. 10.50 +0200   13   40,00    0,00   16,00    0,00    0,00   10,00    0,00    0,00    0,00   34,00
kl. 10.50 +0200   14   37,46    0,00   16,89    0,00    0,00   18,73    0,00    0,00    0,00   26,92
kl. 10.50 +0200   15   39,45    0,00   16,79    0,00    0,00   10,07    0,00    0,00    0,00   33,68
kl. 10.50 +0200   16   37,55    0,00   17,57    0,00    0,00   19,04    0,00    0,00    0,00   25,84
kl. 10.50 +0200   17   40,00    0,00   16,42    0,00    0,00    9,58    0,00    0,00    0,00   34,00
kl. 10.50 +0200   18   45,38    0,00   12,82    0,00    0,00    0,00    0,00    0,00    0,00   41,81
kl. 10.50 +0200   19   41,07    0,00   15,48    0,00    0,00   10,11    0,00    0,00    0,00   33,33
kl. 10.50 +0200   20   41,46    0,00   15,00    0,00    0,00   10,31    0,00    0,00    0,00   33,23
kl. 10.50 +0200   21   40,71    0,00   16,82    0,00    0,00   10,49    0,00    0,00    0,00   31,98
kl. 10.50 +0200   22   40,23    0,00   17,05    0,00    0,00   10,40    0,00    0,00    0,00   32,33
kl. 10.50 +0200   23   40,21    0,00   15,24    0,00    0,00   10,37    0,00    0,00    0,00   34,18
kl. 10.50 +0200   24   39,27    0,00   16,96    0,00    0,00   10,47    0,00    0,00    0,00   33,30
kl. 10.50 +0200   25   39,37    0,00   16,32    0,00    0,00    9,68    0,00    0,00    0,00   34,63
kl. 10.50 +0200   26   37,21    0,00   15,49    0,00    0,00   16,74    0,00    0,00    0,00   30,56
kl. 10.50 +0200   27   44,42    0,00   13,47    0,00    0,00    0,00    0,00    0,00    0,00   42,11
kl. 10.50 +0200   28   42,31    0,00   14,97    0,00    0,00    8,84    0,00    0,00    0,00   33,89
kl. 10.50 +0200   29   40,04    0,00   17,00    0,00    0,00    9,59    0,00    0,00    0,00   33,37
kl. 10.50 +0200   30   39,24    0,00   16,86    0,00    0,00   10,39    0,00    0,00    0,00   33,51
kl. 10.50 +0200   31   46,52    0,00   14,75    0,00    0,00    0,00    0,00    0,00    0,00   38,73
kl. 10.50 +0200   32   40,32    0,00   17,16    0,00    0,00    8,74    0,00    0,00    0,00   33,79
kl. 10.50 +0200   33   39,29    0,00   17,24    0,00    0,00    9,61    0,00    0,00    0,00   33,86
kl. 10.50 +0200   34   40,21    0,00   15,81    0,00    0,00   10,58    0,00    0,00    0,00   33,40
kl. 10.50 +0200   35   45,58    0,00   12,35    0,00    0,00    0,00    0,00    0,00    0,00   42,07
kl. 10.50 +0200   36   39,96    0,00   15,14    0,00    0,00   11,64    0,00    0,00    0,00   33,26
kl. 10.50 +0200   37   35,45    0,00   17,62    0,00    0,00   18,87    0,00    0,00    0,00   28,05
kl. 10.50 +0200   38   39,36    0,00   17,15    0,00    0,00   10,12    0,00    0,00    0,00   33,37
kl. 10.50 +0200   39   39,15    0,00   18,07    0,00    0,00    9,66    0,00    0,00    0,00   33,13
kl. 10.50 +0200   40   39,64    0,00   17,98    0,00    0,00    9,46    0,00    0,00    0,00   32,91
kl. 10.50 +0200   41   40,62    0,00   16,51    0,00    0,00   10,05    0,00    0,00    0,00   32,82
kl. 10.50 +0200   42   39,08    0,00   16,72    0,00    0,00   10,55    0,00    0,00    0,00   33,65
