 ***NOTE***: Collecting stats for next round (10 sec)
CPU          total/sec     dropped/sec    squeezed/sec   collision/sec      rx_rps/sec  flow_limit/sec 
CPU:22           27357               0               0               0               0               0 
CPU:23           30387               0               0               0               0               0 
CPU:24           29989               0               0               0               0               0 
CPU:25           30283               0               0               0               0               0 
CPU:26           30968               0               0               0               0               0 
CPU:27               0               0               0               0               0               0 
CPU:28           31601               0               0               0               0               0 
CPU:29           30195               0               0               0               0               0 
CPU:30           31068               0               0               0               0               0 
CPU:31           30360               0               0               0               0               0 
CPU:32           30611               0               0               0               0               0 
CPU:33           29854               0               0               0               0               0 
CPU:34           31695               0               0               0               0               0 
CPU:35               0               0               0               0               0               0 
CPU:36           29211               0               0               0               0               0 
CPU:37           60254               0               0               0               0               0 
CPU:38           30497               0               0               0               0               0 
CPU:39           28712               0               0               0               0               0 
CPU:40           28775               0               0               0               0               0 
CPU:41           30450               0               0               0               0               0 
CPU:42           30187               0               0               0               0               0 
CPU:43           59664               0               0               0               0               0 
CPU:44               0               0               0               0               0               0 
CPU:45           29653               0               0               0               0               0 
CPU:46           30304               0               0               0               0               0 
CPU:47           30159               0               0               0               0               0 
CPU:48           30495               0               0               0               0               0 
CPU:49           30302               0               0               0               0               0 
CPU:50           60708               0               0               0               0               0 
CPU:51           29865               0               0               0               0               0 
CPU:52           30484               0               0               0               0               0 
CPU:53           30046               0               0               0               0               0 
CPU:54           29764               0               0               0               0               0 
CPU:55           31270               0               0               0               0               0 
CPU:56           28995               0               0               0               0               0 
CPU:57           31617               0               0               0               0               0 
CPU:58           29797               0               0               0               0               0 
CPU:59           31438               0               0               0               0               0 
CPU:60           60026               0               0               0               0               0 
CPU:61           30128               0               0               0               0               0 
CPU:62           30889               0               0               0               0               0 
CPU:63           30083               0               0               0               0               0 

Summed:        1936163               0               0               0               0               0 

CPU          total/sec     dropped/sec    squeezed/sec   collision/sec      rx_rps/sec  flow_limit/sec 
CPU:00               0               0               0               0               0               0 
CPU:01               6               0               0               0               0               0 
CPU:02           30181               0               0               0               0               0 
CPU:03           30276               0               0               0               0               0 
CPU:04           31451               0               0               0               0               0 
CPU:05           31298               0               0               0               0               0 
CPU:06           61544               0               0               0               0               0 
CPU:07           29538               0               0               0               0               0 
CPU:08           30790               0               0               0               0               0 
CPU:09           32205               0               0               0               0               0 
CPU:10           31030               0               0               0               0               0 
CPU:11           29889               0               0               0               0               0 
CPU:12           29565               0               0               0               0               0 
CPU:13           30600               0               0               0               0               0 
CPU:14           61914               0               0               0               0               0 
CPU:15           29814               0               0               0               0               0 
CPU:16           29912               0               0               0               0               0 
CPU:17           28647               0               0               0               0               0 
CPU:18               0               0               0               0               0               0 
CPU:19           30844               0               0               0               0               0 
CPU:20           29403               0               0               0               0               0 
CPU:21           30755               0               0               0               0               0 
CPU:22           27194               0               0               0               0               0 
CPU:23           29835               0               0               0               0               0 
CPU:24           30675               0               0               0               0               0 
CPU:25           30547               0               0               0               0               0 
CPU:26           30854               0               0               0               0               0 
CPU:27               0               0               0               0               0               0 
CPU:28           31392               0               0               0               0               0 
CPU:29           30554               0               0               0               0               0 
CPU:30           32635               0               0               0               0               0 
CPU:31           29364               0               0               0               0               0 
CPU:32           30866               0               0               0               0               0 
CPU:33           30495               0               0               0               0               0 
CPU:34           30313               0               0               0               0               0 
CPU:35               0               0               0               0               0               0 
CPU:36           29185               0               0               0               0               0 
CPU:37           59462               0               0               0               0               0 
CPU:38           30407               0               0               0               0               0 
CPU:39           28857               0               0               0               0               0 
CPU:40           28932               0               0               0               0               0 
CPU:41           30007               0               0               0               0               0 
CPU:42           30166               0               0               0               0               0 
CPU:43           60282               0               0               0               0               0 
CPU:44               0               0               0               0               0               0 
CPU:45           30105               0               0               0               0               0 
CPU:46           30837               0               0               0               0               0 
CPU:47           30787               0               0               0               0               0 
CPU:48           30761               0               0               0               0               0 
CPU:49           29601               0               0               0               0               0 
