 ***NOTE***: Collecting stats for next round (10 sec)
CPU          total/sec     dropped/sec    squeezed/sec   collision/sec      rx_rps/sec  flow_limit/sec 
CPU:00               0               0               0               0               0               0 
CPU:01               0               0               0               0               0               0 
CPU:02            8036               0               0               0               0               0 
CPU:03            7741               0               0               0               0               0 
CPU:04            7855               0               0               0               0               0 
CPU:05           14963               0               0               0               0               0 
CPU:06            7860               0               0               0               0               0 
CPU:07           15872               0               0               0               0               0 
CPU:08            7945               0               0               0               0               0 
CPU:09            7913               0               0               0               0               0 
CPU:10            8072               0               0               0               0               0 
CPU:11           15575               0               0               0               0               0 
CPU:12            8077               0               0               0               0               0 
CPU:13           15301               0               0               0               0               0 
CPU:14            7378               0               0               0               0               0 
CPU:15            7607               0               0               0               0               0 
CPU:16            7807               0               0               0               0               0 
CPU:17            7807               0               0               0               0               0 
CPU:18            7712               0               0               0               0               0 
CPU:19               0               0               0               0               0               0 
CPU:20            8114               0               0               0               0               0 
CPU:21           15250               0               0               0               0               0 
CPU:22            7346               0               0               0               0               0 
CPU:23            8316               0               0               0               0               0 
CPU:24            8037               0               0               0               0               0 
CPU:25            7923               0               0               0               0               0 
CPU:26            8065               0               0               0               0               0 
CPU:27               4               0               0               0               0               0 
CPU:28           15649               0               0               0               0               0 
CPU:29            7912               0               0               0               0               0 
CPU:30            7727               0               0               0               0               0 
CPU:31            8171               0               0               0               0               0 
CPU:32            7410               0               0               0               0               0 
CPU:33            7948               0               0               0               0               0 
CPU:34            7748               0               0               0               0               0 
CPU:35               0               0               0               0               0               0 
CPU:36           16273               0               0               0               0               0 
CPU:37            7919               0               0               0               0               0 
CPU:38           15478               0               0               0               0               0 
CPU:39               0               0               0               0               0               0 
CPU:40               0               0               0               0               0               0 
CPU:41            7793               0               0               0               0               0 
CPU:42            7699               0               0               0               0               0 
CPU:43            7693               0               0               0               0               0 
CPU:44            8089               0               0               0               0               0 
CPU:45               0               0               0               0               0               0 
CPU:46           16043               0               0               0               0               0 
CPU:47               0               0               0               0               0               0 
CPU:48            7595               0               0               0               0               0 
CPU:49            8391               0               0               0               0               0 
CPU:50            8265               0               0               0               0               0 
CPU:51            8396               0               0               0               0               0 
CPU:52            7650               0               0               0               0               0 
CPU:53               0               0               0               0               0               0 
CPU:54            8519               0               0               0               0               0 
CPU:55               0               0               0               0               0               0 
CPU:56           15828               0               0               0               0               0 
CPU:57            8115               0               0               0               0               0 
CPU:58           15302               0               0               0               0               0 
CPU:59            7859               0               0               0               0               0 
CPU:60            7921               0               0               0               0               0 
CPU:61            7871               0               0               0               0               0 
CPU:62           15635               0               0               0               0               0 
CPU:63               1               0               0               0               0               0 

Summed:         503476               0               0               0               0               0 

CPU          total/sec     dropped/sec    squeezed/sec   collision/sec      rx_rps/sec  flow_limit/sec 
CPU:00               0               0               0               0               0               0 
CPU:01               0               0               0               0               0               0 
CPU:02           30521               0               0               0               0               0 
CPU:03           31777               0               0               0               0               0 
CPU:04           29662               0               0               0               0               0 
CPU:05           59311               0               0               0               0               0 
CPU:06           30315               0               0               0               0               0 
CPU:07           62294               0               0               0               0               0 
CPU:08           31115               0               0               0               0               0 
CPU:09           30506               0               0               0               0               0 
CPU:10           30405               0               0               0               0               0 
CPU:11           61833               0               0               0               0               0 
CPU:12           30326               0               0               0               0               0 
CPU:13           59879               0               0               0               0               0 
CPU:14           29602               0               0               0               0               0 
CPU:15           30103               0               0               0               0               0 
CPU:16           28130               0               0               0               0               0 
CPU:17           30545               0               0               0               0               0 
CPU:18           29690               0               0               0               0               0 
CPU:19               0               0               0               0               0               0 
CPU:20           31676               0               0               0               0               0 
CPU:21           58604               0               0               0               0               0 
CPU:22           28542               0               0               0               0               0 
CPU:23           31677               0               0               0               0               0 
CPU:24           30086               0               0               0               0               0 
CPU:25           29919               0               0               0               0               0 
CPU:26           30833               0               0               0               0               0 
CPU:27               7               0               0               0               0               0 
CPU:28           59815               0               0               0               0               0 
CPU:29           30491               0               0               0               0               0 
CPU:30           29518               0               0               0               0               0 
CPU:31           31082               0               0               0               0               0 
CPU:32           28605               0               0               0               0               0 
CPU:33           31416               0               0               0               0               0 
CPU:34           30491               0               0               0               0               0 
CPU:35               0               0               0               0               0               0 
CPU:36           61308               0               0               0               0               0 
CPU:37           30100               0               0               0               0               0 
CPU:38           59056               0               0               0               0               0 
CPU:39               0               0               0               0               0               0 
CPU:40               0               0               0               0               0               0 
CPU:41           30641               0               0               0               0               0 
CPU:42           29873               0               0               0               0               0 
CPU:43           29898               0               0               0               0               0 
CPU:44           31545               0               0               0               0               0 
CPU:45               0               0               0               0               0               0 
CPU:46           60931               0               0               0               0               0 
CPU:47               0               0               0               0               0               0 
CPU:48           30314               0               0               0               0               0 
CPU:49           30172               0               0               0               0               0 
CPU:50           30912               0               0               0               0               0 
CPU:51           31304               0               0               0               0               0 
CPU:52           30845               0               0               0               0               0 
CPU:53               0               0               0               0               0               0 
CPU:54           31675               0               0               0               0               0 
CPU:55               0               0               0               0               0               0 
CPU:56           59651               0               0               0               0               0 
CPU:57           30547               0               0               0               0               0 
CPU:58           59097               0               0               0               0               0 
CPU:59           30643               0               0               0               0               0 
CPU:60           30530               0               0               0               0               0 
CPU:61           29139               0               0               0               0               0 
CPU:62           58087               0               0               0               0               0 
